metric_group,category,value,percentage,highlight_value,highlight_percentage,dataset_name
Tipos de Alojamientos,Cabañas,2680.0,0.2665,249,0.0248,tipos_alojamientos_empresas
Tipos de Alojamientos,Estancia o Hacienda,21.0,0.0021,1,0.0001,tipos_alojamientos_empresas
Tipos de Alojamientos,Complejo Turístico o Resort,124.0,0.0123,9,0.0009,tipos_alojamientos_empresas
Tipos de Alojamientos,Hotel Boutique,163.0,0.0162,2,0.0002,tipos_alojamientos_empresas
Tipos de Alojamientos,Hostería,193.0,0.0192,6,0.0006,tipos_alojamientos_empresas
Tipos de Alojamientos,Centro de Turismo de Naturaleza o Lodge,235.0,0.0234,14,0.0014,tipos_alojamientos_empresas
Tipos de Alojamientos,Apart - Hotel,281.0,0.0279,9,0.0009,tipos_alojamientos_empresas
Tipos de Alojamientos,Hostel o Albergue (Refugio),305.0,0.0303,11,0.0011,tipos_alojamientos_empresas
Tipos de Alojamientos,Residencial,510.0,0.0507,7,0.0007,tipos_alojamientos_empresas
Tipos de Alojamientos,Departamentos Turísticos y/o Ejecutivos,629.0,0.0626,57,0.0057,tipos_alojamientos_empresas
Tipos de Alojamientos,"Bed and Breakfast, Alojamiento Familiar u Hospedaje Rural",722.0,0.0718,53,0.0053,tipos_alojamientos_empresas
Tipos de Alojamientos,Hotel,1574.0,0.1565,34,0.0034,tipos_alojamientos_empresas
Tipos de Alojamientos,Hostal,1853.0,0.1843,70,0.007,tipos_alojamientos_empresas
